trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_3813,ECP_3813,KFF-acpP Jvpna-21 ECP_1086,2,4;10
ECP_3829,hlyD,KFF-acpP Jvpna-21 ECP_1086,2,4;10
ECP_3829,hlyD,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_3832,ibrB,KFF-acpP Jvpna-21 ECP_1086,2,3;10
ECP_3832,ibrB,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;9
ECP_3859,ECP_3859,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;9
ECP_3863,ECP_3863,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;9
ECP_3876,ECP_3876,KFF-acpP Jvpna-21 ECP_1086 reverse,2,1;9
ECP_3884,ECP_3884,KFF-acpP Jvpna-21 ECP_1086 reverse,2,2;3
ECP_3914,ECP_3914,KFF-acpP Jvpna-21 ECP_1086,2,4;5
ECP_3916,yieI,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;9
ECP_3943,asnA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,7;9
ECP_3946,kup,KFF-acpP Jvpna-21 ECP_1086,2,3;4
ECP_3971,ECP_3971,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;10
ECP_3972,ECP_3972,KFF-acpP Jvpna-21 ECP_1086,2,2;4
ECP_3973,trxA,KFF-acpP Jvpna-21 ECP_1086,2,4;8
ECP_3976,wzzE,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;8
ECP_4056,ubiD,KFF-acpP Jvpna-21 ECP_1086,2,4;7
ECP_4117,ECP_4117,KFF-acpP Jvpna-21 ECP_1086 reverse,2,4;7
ECP_4117,ECP_4117,KFF-acpP Jvpna-21 ECP_1086,2,4;5
ECP_4118,sodA,KFF-acpP Jvpna-21 ECP_1086,2,1;4
ECP_4118,sodA,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_4136,ECP_4136,KFF-acpP Jvpna-21 ECP_1086,2,1;4
ECP_4136,ECP_4136,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;10
ECP_4143,ECP_4143,KFF-acpP Jvpna-21 ECP_1086 reverse,2,5;9
ECP_4155,metF,KFF-acpP Jvpna-21 ECP_1086,2,2;3
ECP_4218,ECP_4218,KFF-acpP Jvpna-21 ECP_1086,2,2;8
ECP_4222,ECP_4222,KFF-acpP Jvpna-21 ECP_1086,2,4;8
ECP_4222,ECP_4222,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;7
ECP_4252,ECP_4252,KFF-acpP Jvpna-21 ECP_1086,2,4;10
ECP_4252,ECP_4252,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;9
ECP_4255,malM,KFF-acpP Jvpna-21 ECP_1086,2,4;6
ECP_4264,ECP_4264,KFF-acpP Jvpna-21 ECP_1086 reverse,2,3;8
ECP_4269,ECP_4269,KFF-acpP Jvpna-21 ECP_1086 reverse,2,8;9
