"","control_1","control_2","control_3","genename"
"ECP_1864",10.0177209349726,14.830364647847,21.8106967257025,"yedF"
"ECP_1865",2.82577113021794,2.31576001467822,3.25497752032009,"yedK"
"ECP_1866",8.13092854243356,2.99853570932851,7.31713696604214,"ECP_1866"
"ECP_1867",137.27079527622,150.48976077658,241.911439583692,"ompD"
"ECP_1868",5.72404411732275,9.05268416893335,6.32597100251452,"ECP_1868"
"ECP_1869",21.6441782613259,26.7188363084852,24.7788480627221,"ECP_1869"
"ECP_1870",30.6722135739271,31.2337434461649,21.0433806481236,"ECP_1870"
"ECP_1871",13.9232471612339,26.1650004858443,10.5854581442076,"ECP_1871"
"ECP_1872",9.48069208709071,14.829406861445,5.1272885611959,"fliF"
"ECP_1873",7.44028943129915,11.1993502396607,4.09935986651759,"fliG"
